,Time, TickAttribLast, Unreported, Price, Size, Exchange,Symbol
0,,,,,,,agm prc
1,1668180542,PastLimit,1,26.599900,41,FINRA,agm prc
2,1668192524,PastLimit,0,26.250000,100,PSX,agm prc
3,1668192804,PastLimit,0,26.200000,100,DRCTEDGE,agm prc
4,1668192804,PastLimit,0,26.200000,100,ISLAND,agm prc
5,1668197213,PastLimit,1,26.000000,1,NYSE,agm prc
6,1668197213,PastLimit,1,26.000000,1,ISLAND,agm prc
7,1668197213,PastLimit,1,26.100000,1,DRCTEDGE,agm prc
8,1668197213,PastLimit,1,26.100000,1,DRCTEDGE,agm prc
9,1668197242,PastLimit,1,26.100000,4,DRCTEDGE,agm prc
10,1668199963,PastLimit,0,26.100000,184,DRCTEDGE,agm prc
